SOC,Project Name,Customer
ZCS24-120,Ncia - Planner Plan 1 Subscription X 3 - 1 Year,Northern Corridor Implementation Authority (Ncia)
ZCS24-081,Ncia - Renewal Of Ncer Data Center & Data Center Recovery Hardware And Software - 2 Years Extention (9/10/2024 - 8/10/2026),Northern Corridor Implementation Authority (Ncia)
ZCS25-001,Ncia - Supply Hardware (Tp Link Network Switch & Fiber Transceiver Module),Northern Corridor Implementation Authority (Ncia)
ZCS24-025,Ncia - Threatdown Edr Software For Server,Northern Corridor Implementation Authority (Ncia)
ZCS24-032,Nres - Coaching Services For Strengthening The Official Portal Of Nres,Kementerian Sumber Asli Dan Kelestarian Alam (Nres)
ZCS24-076,Nres - Myabs Systems Support & Enhancement Services With Training - 2 Years (17/9/2024 - 16/9/2026),Kementerian Sumber Asli Dan Kelestarian Alam (Nres)
Others,Others,Others
ZCS25-131,Pb Cargo - Exchange Online  (Additional Of 10 Licenses),Public Cargo Services Sdn Bhd
ZCS25-077,Pb Cargo - Microsoft 365 Business Basic &  Exchange Online Renewal (13/10/2025 - 12/10/2026),Public Cargo Services Sdn Bhd
ZCS25-089,Pb Cargo - Microsoft 365 Business Basic (Additional Of 3 Licenses),Public Cargo Services Sdn Bhd
ZCS25-008,Pengurusan Air Selangor - Enhancement Of Ierp Admiministrator System And Portal 2025,Pengurusan Air Selangor Sdn Bhd
ZCS24-151,"Peninsula - Poweredge R360 Server, Ups And Professional Services",Peninsula Salt Sdn Bhd
ZCS24-101,Pnb - Brocade San Switch Zoning Configuration Services,Permodalan Nasional Berhad (Pnb)
ZCS25-005,Pnb - Consolidation Of Hardware Maintenance Renewal Fy2025 (Avs/Css/Edw/Fds/It Security & Devops) (1/1/2025 - 31/12/2025),Permodalan Nasional Berhad (Pnb)
ZCS23-077,Pnb - It Security And Devops Hardware Maintenance Renewal (Lenovo Server Thinksystem Sr650),Permodalan Nasional Berhad (Pnb)
ZCS24-115,Pnb - Software Maintenance Renewal Fy2025 (Avs & Non-Avs) (1/1/2025 - 31/12/2025),Permodalan Nasional Berhad (Pnb)
ZCS24-038,Pos Aviation - Change Request Of Reports Update In Itsm For New Changes,Pos Aviation Sdn Bhd
ZCS25-084,Pos Aviation - Ivanti Servide Desk And Support Renewal (30/10/2025 - 29/10/2026),Pos Aviation Sdn Bhd
Potential Customer,Potential Customer,Potential Customer
